year,sector,desc_en,value,rank
2022,p5.2.3,Accommodation,2596.801,21
2022,p5.2.3,Accommodation,2342.906,22
2022,p5.2.3,Accommodation,1987.44,23
2022,p5.2.3,Accommodation,1718.551,24
2022,p5.2.3,Accommodation,321.2,25
2022,p5.2.3,Accommodation,171.7,26
2022,p5.2.3,Accommodation,91.5,27
2022,p5.2.3,Accommodation,73.3,28
2022,p5.1.3,Transportation and storage,42.2,29
2022,p5.1.3,Transportation and storage,37.1,30
2022,p5.2.2,Food and beverage,31.9,31
2022,p5.2.2,Food and beverage,25.6,32
2022,p5.4.6,Other services not elsewhere classified (tourism agencies/ guide services),24.3,33
2022,p5.1.3,Transportation and storage,22.1,34
2022,p5.1.3,Transportation and storage,19.9,35
2022,p5.2.3,Accommodation,17.9,36
2022,p5.4.1,Private health services (medical tourism),16.5,37
2022,p5.2.2,Food and beverage,15.9,38
2022,p5.2.3,Accommodation,15.6,39
2022,p5.2.2,Food and beverage,15.3,40
2022,p5.2.3,Accommodation,14.7,41
2022,p5.4.6,Other services not elsewhere classified (tourism agencies/ guide services),13.8,42
2022,p5.2.2,Food and beverage,11.3,43
2022,p5.4.2,Private education services (language/ hospitality training),10.9,44
2022,p5.4.6,Other services not elsewhere classified (tourism agencies/ guide services),10.9,44
2022,p5.2.3,Accommodation,10.8,45
2022,p5.4.2,Private education services (language/ hospitality training),10.2,46
2022,p5.4.1,Private health services (medical tourism),9.6,47
2022,p5.4.6,Other services not elsewhere classified (tourism agencies/ guide services),9.4,48
2022,p5.4.1,Private health services (medical tourism),8.9,49
2022,p5.4.1,Private health services (medical tourism),8.4,50
2022,p5.1.3,Transportation and storage,6.9,51
2022,p5.4.2,Private education services (language/ hospitality training),6.7,52
2022,p5.4.6,Other services not elsewhere classified (tourism agencies/ guide services),6.3,53
2022,p5.1.3,Transportation and storage,5.9,54
2022,p5.4.2,Private education services (language/ hospitality training),5.9,54
2022,p5.4.2,Private education services (language/ hospitality training),4.8,55
2022,p5.4.1,Private health services (medical tourism),3.1,56
2022,p5.1.3,Transportation and storage,3.0,57
2022,p5.1.3,Transportation and storage,2.8,58
2022,p5.2.2,Food and beverage,2.7,59
2022,p5.4.1,Private health services (medical tourism),2.6,60
2022,p5.4.2,Private education services (language/ hospitality training),2.4,61
2022,p5.4.6,Other services not elsewhere classified (tourism agencies/ guide services),2.1,62
2022,p5.4.6,Other services not elsewhere classified (tourism agencies/ guide services),1.6,63
2022,p5.4.1,Private health services (medical tourism),1.5,64
2022,p5.4.2,Private education services (language/ hospitality training),1.1,65
2022,p5.2.2,Food and beverage,1.1,65
2022,p5.4.1,Private health services (medical tourism),0.9,66
2022,p5.4.2,Private education services (language/ hospitality training),0.6,67
2022,p5.4.6,Other services not elsewhere classified (tourism agencies/ guide services),0.5,68
2022,p5.2.2,Food and beverage,0.3,69
2023,p5.1.3,Transportation and storage,16326.137,1
2023,p5.1.3,Transportation and storage,15889.97,2
2023,p5.1.3,Transportation and storage,15553.756,3
2023,p5.1.3,Transportation and storage,15015.433,4
2023,p5.4.6,Other services not elsewhere classified (tourism agencies/ guide services),12492.347,5
2023,p5.4.6,Other services not elsewhere classified (tourism agencies/ guide services),12423.158,6
2023,p5.4.6,Other services not elsewhere classified (tourism agencies/ guide services),12288.564,7
2023,p5.4.6,Other services not elsewhere classified (tourism agencies/ guide services),12284.856,8
2023,p5.2.2,Food and beverage,9169.596,9
2023,p5.2.2,Food and beverage,9047.559,10
2023,p5.2.2,Food and beverage,8976.437,11
2023,p5.2.2,Food and beverage,8905.592,12
2023,p5.4.1,Private health services (medical tourism),3252.333,13
2023,p5.4.2,Private education services (language/ hospitality training),3150.121,14
2023,p5.4.1,Private health services (medical tourism),3149.305,15
2023,p5.4.2,Private education services (language/ hospitality training),3092.735,16
2023,p5.4.1,Private health services (medical tourism),3059.843,17
2023,p5.4.2,Private education services (language/ hospitality training),3032.008,18
2023,p5.4.1,Private health services (medical tourism),3030.49,19
2023,p5.4.2,Private education services (language/ hospitality training),3029.893,20
2023,p5.2.3,Accommodation,2884.224,21
2023,p5.2.3,Accommodation,2770.497,22
2023,p5.2.3,Accommodation,2662.117,23
2023,p5.2.3,Accommodation,2602.844,24
2023,p5.2.3,Accommodation,51.5,25
2023,p5.2.3,Accommodation,33.9,26
2023,p5.2.3,Accommodation,18.3,27
2023,p5.1.3,Transportation and storage,16.0,28
2023,p5.1.3,Transportation and storage,13.5,29
2023,p5.1.3,Transportation and storage,12.8,30
2023,p5.1.3,Transportation and storage,12.5,31
2023,p5.4.2,Private education services (language/ hospitality training),11.1,32
2023,p5.2.3,Accommodation,11.1,32
2023,p5.4.1,Private health services (medical tourism),10.7,33
2023,p5.4.1,Private health services (medical tourism),10.6,34
2023,p5.4.1,Private health services (medical tourism),10.4,35
2023,p5.4.1,Private health services (medical tourism),8.9,36
2023,p5.4.2,Private education services (language/ hospitality training),8.4,37
2023,p5.4.6,Other services not elsewhere classified (tourism agencies/ guide services),6.5,38
2023,p5.4.6,Other services not elsewhere classified (tourism agencies/ guide services),5.9,39
2023,p5.4.2,Private education services (language/ hospitality training),5.9,39
2023,p5.4.6,Other services not elsewhere classified (tourism agencies/ guide services),5.4,40
2023,p5.4.2,Private education services (language/ hospitality training),4.5,41
2023,p5.2.2,Food and beverage,4.4,42
2023,p5.2.3,Accommodation,4.1,43
2023,p5.2.3,Accommodation,4.1,43
2023,p5.4.6,Other services not elsewhere classified (tourism agencies/ guide services),3.8,44
2023,p5.1.3,Transportation and storage,3.6,45
2023,p5.1.3,Transportation and storage,3.4,46
2023,p5.4.1,Private health services (medical tourism),3.3,47
2023,p5.4.1,Private health services (medical tourism),3.1,48
2023,p5.4.1,Private health services (medical tourism),2.9,49
2023,p5.1.3,Transportation and storage,2.7,50
2023,p5.2.2,Food and beverage,2.4,51
2023,p5.2.3,Accommodation,2.3,52
2023,p5.1.3,Transportation and storage,2.2,53
2023,p5.2.2,Food and beverage,2.1,54
2023,p5.4.6,Other services not elsewhere classified (tourism agencies/ guide services),2.1,54
2023,p5.4.2,Private education services (language/ hospitality training),2.1,54
2023,p5.4.2,Private education services (language/ hospitality training),1.9,55
2023,p5.4.2,Private education services (language/ hospitality training),1.9,55
2023,p5.2.2,Food and beverage,1.6,56
2023,p5.2.2,Food and beverage,1.3,57
2023,p5.4.6,Other services not elsewhere classified (tourism agencies/ guide services),1.1,58
2023,p5.4.1,Private health services (medical tourism),1.0,59
2023,p5.2.2,Food and beverage,0.8,60
2023,p5.4.6,Other services not elsewhere classified (tourism agencies/ guide services),0.6,61
2023,p5.2.2,Food and beverage,0.2,62
2023,p5.2.3,Accommodation,0.2,62
2023,p5.4.6,Other services not elsewhere classified (tourism agencies/ guide services),-0.0,63
2023,p5.4.2,Private education services (language/ hospitality training),-0.1,64
2023,p5.2.2,Food and beverage,-0.8,65
2024,p5.1.3,Transportation and storage,18070.664,1
2024,p5.1.3,Transportation and storage,17567.627,2
2024,p5.1.3,Transportation and storage,17155.022,3
2024,p5.1.3,Transportation and storage,16716.731,4
2024,p5.4.6,Other services not elsewhere classified (tourism agencies/ guide services),13130.242,5
2024,p5.4.6,Other services not elsewhere classified (tourism agencies/ guide services),13027.945,6
2024,p5.4.6,Other services not elsewhere classified (tourism agencies/ guide services),12804.753,7
2024,p5.4.6,Other services not elsewhere classified (tourism agencies/ guide services),12750.804,8
2024,p5.2.2,Food and beverage,9606.11,9
2024,p5.2.2,Food and beverage,9410.449,10
2024,p5.2.2,Food and beverage,9265.06,11
2024,p5.2.2,Food and beverage,9254.354,12
2024,p5.4.1,Private health services (medical tourism),3544.709,13
2024,p5.4.1,Private health services (medical tourism),3424.184,14
2024,p5.4.2,Private education services (language/ hospitality training),3368.515,15
2024,p5.4.2,Private education services (language/ hospitality training),3326.929,16
2024,p5.4.1,Private health services (medical tourism),3321.919,17
2024,p5.4.1,Private health services (medical tourism),3304.384,18
2024,p5.2.3,Accommodation,3301.611,19
2024,p5.4.2,Private education services (language/ hospitality training),3270.405,20
2024,p5.4.2,Private education services (language/ hospitality training),3248.217,21
2024,p5.2.3,Accommodation,3135.816,22
2024,p5.2.3,Accommodation,3008.787,23
2024,p5.2.3,Accommodation,2936.658,24
2024,p5.2.3,Accommodation,14.5,25
2024,p5.2.3,Accommodation,13.2,26
2024,p5.2.3,Accommodation,13.0,27
2024,p5.2.3,Accommodation,12.8,28
2024,p5.1.3,Transportation and storage,11.3,29
2024,p5.1.3,Transportation and storage,10.7,30
2024,p5.1.3,Transportation and storage,10.6,31
2024,p5.1.3,Transportation and storage,10.3,32
2024,p5.4.1,Private health services (medical tourism),9.0,33
2024,p5.4.1,Private health services (medical tourism),9.0,33
2024,p5.4.1,Private health services (medical tourism),8.7,34
2024,p5.4.1,Private health services (medical tourism),8.6,35
2024,p5.4.2,Private education services (language/ hospitality training),7.9,36
2024,p5.4.2,Private education services (language/ hospitality training),7.6,37
2024,p5.4.2,Private education services (language/ hospitality training),7.1,38
2024,p5.4.2,Private education services (language/ hospitality training),6.9,39
2024,p5.2.3,Accommodation,5.3,40
2024,p5.4.6,Other services not elsewhere classified (tourism agencies/ guide services),5.1,41
2024,p5.4.6,Other services not elsewhere classified (tourism agencies/ guide services),4.9,42
2024,p5.2.2,Food and beverage,4.8,43
2024,p5.4.6,Other services not elsewhere classified (tourism agencies/ guide services),4.2,44
2024,p5.2.3,Accommodation,4.2,44
2024,p5.2.2,Food and beverage,4.0,45
2024,p5.2.2,Food and beverage,3.9,46
2024,p5.4.6,Other services not elsewhere classified (tourism agencies/ guide services),3.8,47
2024,p5.4.1,Private health services (medical tourism),3.5,48
2024,p5.2.2,Food and beverage,3.2,49
2024,p5.4.2,Private education services (language/ hospitality training),3.1,50
2024,p5.4.1,Private health services (medical tourism),3.1,50
2024,p5.1.3,Transportation and storage,2.9,51
2024,p5.1.3,Transportation and storage,2.6,52
2024,p5.4.6,Other services not elsewhere classified (tourism agencies/ guide services),2.5,53
2024,p5.2.3,Accommodation,2.5,53
2024,p5.1.3,Transportation and storage,2.4,54
2024,p5.1.3,Transportation and storage,2.4,54
2024,p5.4.6,Other services not elsewhere classified (tourism agencies/ guide services),2.2,55
2024,p5.2.2,Food and beverage,2.1,56
2024,p5.2.3,Accommodation,1.8,57
2024,p5.2.2,Food and beverage,1.7,58
2024,p5.4.2,Private education services (language/ hospitality training),1.7,58
2024,p5.4.1,Private health services (medical tourism),1.6,59
2024,p5.4.2,Private education services (language/ hospitality training),1.2,60
2024,p5.2.2,Food and beverage,1.0,61
2024,p5.4.6,Other services not elsewhere classified (tourism agencies/ guide services),0.8,62
2024,p5.4.2,Private education services (language/ hospitality training),0.7,63
2024,p5.4.1,Private health services (medical tourism),0.5,64
2024,p5.2.2,Food and beverage,-0.1,65
2024,p5.4.6,Other services not elsewhere classified (tourism agencies/ guide services),-0.4,66
2025,p5.1.3,Transportation and storage,18636.265,1
2025,p5.1.3,Transportation and storage,18299.669,2
2025,p5.4.6,Other services not elsewhere classified (tourism agencies/ guide services),13356.831,3
2025,p5.4.6,Other services not elsewhere classified (tourism agencies/ guide services),13322.789,4
2025,p5.2.2,Food and beverage,9921.357,5
2025,p5.2.2,Food and beverage,9800.065,6
2025,p5.4.1,Private health services (medical tourism),3618.227,7
2025,p5.4.1,Private health services (medical tourism),3555.963,8
2025,p5.2.3,Accommodation,3444.097,9
2025,p5.4.2,Private education services (language/ hospitality training),3435.165,10
2025,p5.4.2,Private education services (language/ hospitality training),3383.241,11
2025,p5.2.3,Accommodation,3352.873,12
2025,p5.2.3,Accommodation,14.5,13
2025,p5.2.3,Accommodation,14.2,14
2025,p5.1.3,Transportation and storage,9.5,15
2025,p5.4.1,Private health services (medical tourism),8.9,16
2025,p5.1.3,Transportation and storage,8.6,17
2025,p5.4.1,Private health services (medical tourism),7.6,18
2025,p5.2.2,Food and beverage,7.2,19
2025,p5.2.2,Food and beverage,5.8,20
2025,p5.4.2,Private education services (language/ hospitality training),5.0,21
2025,p5.4.6,Other services not elsewhere classified (tourism agencies/ guide services),4.8,22
2025,p5.4.2,Private education services (language/ hospitality training),4.2,23
2025,p5.4.6,Other services not elsewhere classified (tourism agencies/ guide services),4.0,24
2025,p5.2.3,Accommodation,2.7,25
2025,p5.2.2,Food and beverage,2.0,26
2025,p5.1.3,Transportation and storage,1.8,27
2025,p5.4.1,Private health services (medical tourism),1.8,27
2025,p5.2.3,Accommodation,1.6,28
2025,p5.4.6,Other services not elsewhere classified (tourism agencies/ guide services),1.5,29
2025,p5.4.2,Private education services (language/ hospitality training),1.5,29
2025,p5.1.3,Transportation and storage,1.3,30
2025,p5.2.2,Food and beverage,1.2,31
2025,p5.4.2,Private education services (language/ hospitality training),0.4,32
2025,p5.4.1,Private health services (medical tourism),0.3,33
2025,p5.4.6,Other services not elsewhere classified (tourism agencies/ guide services),0.3,33
